examples,stage,Grf,DAdv,Context,Degree,abstract,compositionality,,,,,,,,,,,,,,,
此联闲雅 [有] 味，然出自吕居仁“手香橙熟後，发脱草枯时,2,0,0,0,2,1,2,,,,,,,,,,,,,,,
譬如丹柰 [有] 色有味，到口即佳，不假於剥皮也,2,0,0,0,2,1,2,,,,,,,,,,,,,,,
譬如丹柰有色 [有] 味，到口即佳，不假於剥皮也,2,0,0,0,2,1,2,,,,,,,,,,,,,,,
武松吃了道：“这酒略 [有] 些意思,2,0,1,1,2,1,2,,,,,,,,,,,,,,,
此作雅淡 [有] 味，但虚字太多，体格稍弱,2,0,0,0,2,1,2,,,,,,,,,,,,,,,
虽是小妇人丑陋，却幸小女俱 [有] 几分颜色，女工针指,2,0,1,1,2,1,2,,,,,,,,,,,,,,,
此“贺”字尤 [有] 味，如赋一绝则不孤此句，流於敷演，格斯下矣,2,0,1,1,2,1,2,,,,,,,,,,,,,,,
孙新道：“毛太公那厮， [有] 钱有势,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
一日因来庙里行香，不想正见了玉娇枝 [有] 些颜色，累次着人来说，要娶他为妫攥又把王羲枣配远恶军州,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
总然妻子 [有] 些颜色，也无些什么意兴,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
行者道：“不是笑他，我这笑中 [有] 味,2,0,0,1,2,1,2,,,,,,,,,,,,,,,
因见钮成老婆 [有] 三四分颜色，指望以此为繇，要勾搭这婆娘,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
幸喜合监的人，知他是个 [有] 钱主儿，奉承不暇，流水把膏药末药送来,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
卢楠说：“我看陆公所为，是 [有] 肝胆的豪杰，不比那龌龊贪利的小辈,2,1,0,1,1,2,2,,,,,,,,,,,,,,,
那借金银人，身贫无计，结成凶党，明火执杖，白日杀上我门，将我财帛尽情劫掳，把我父亲杀了；见我母亲 [有] 些颜色，拐将去做甚么压寨夫人,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
你当初 [有] 钱是个财主，人自然趋奉你；今日无钱，是个穷鬼，便不礼你，又何怪哉,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
那人见大娘子如此小心，又生得 [有] 几分颜色，便问道：“你肯跟我做个压寨夫人么？,2,1,1,1,2,1,2,,,,,,,,,,,,,,,
垂老读来尤 [有] 味，文人从此莫相轻,2,0,1,1,2,1,2,,,,,,,,,,,,,,,
毕竟晁凤 [有] 些主意的人，说道：“事还没见的实,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
你是个 [有] 意思的人，见了这们的事，该回头，该赞叹,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
是个 [有] 主意有意思的女人，我当是个混帐老婆来,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
是个有主意 [有] 意思的女人，我当是个混帐老婆来,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
但那真正 [有] 钱的大户，不是结识的人好，就是人怕他的财势，不敢报他,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
后来也不拘俊秀，只论 [有] 钱的便报,2,1,0,1,2,1,2,,,,,,,,,,,,,,,
